origin,destination,kilometers
Beaver Creek,Braeburn,527
Beaver Creek,Burwash Landing,170
Beaver Creek,Carcross,516
Beaver Creek,Carmacks,594
Beaver Creek,Champagne,356
Beaver Creek,Dawson City,950
Beaver Creek,Destruction Bay,186
Beaver Creek,Drury Creek,711
Beaver Creek,Elsa,868
Beaver Creek,Faro,776
Beaver Creek,Fraser,584
Beaver Creek,Haines Junction,291
Beaver Creek,Keno,881
Beaver Creek,Marsh Lake,507
Beaver Creek,Mayo,823
Beaver Creek,Mendenhall,380
Beaver Creek,Pelly Crossing,700
Beaver Creek,Rancheria,763
Beaver Creek,Ross River,827
Beaver Creek,Stewart Crossing,771
Beaver Creek,Swift River,736
Beaver Creek,Tagish,547
Beaver Creek,Teslin,622
Beaver Creek,Tuchitua,989
Beaver Creek,Upper Liard,870
Beaver Creek,Watson Lake,882
Beaver Creek,Whitehorse,446
Beaver Creek,Skagway,619
Beaver Creek,Haines,529
Braeburn,Burwash Landing,358
Braeburn,Carcross,180
Braeburn,Carmacks,67
Braeburn,Champagne,171
Braeburn,Dawson City,423
Braeburn,Destruction Bay,341
Braeburn,Drury Creek,184
Braeburn,Elsa,341
Braeburn,Faro,249
Braeburn,Fraser,248
Braeburn,Haines Junction,235
Braeburn,Keno,354
Braeburn,Marsh Lake,162
Braeburn,Mayo,296
Braeburn,Mendenhall,147
Braeburn,Pelly Crossing,173
Braeburn,Rancheria,427
Braeburn,Ross River,300
Braeburn,Stewart Crossing,244
Braeburn,Swift River,400
Braeburn,Tagish,211
Braeburn,Teslin,286
Braeburn,Tuchitua,544
Braeburn,Upper Liard,535
Braeburn,Watson Lake,546
Braeburn,Whitehorse,103
Braeburn,Skagway,619
Braeburn,Haines,529
Burwash Landing,Carcross,347
Burwash Landing,Carmacks,425
Burwash Landing,Champagne,187
Burwash Landing,Dawson City,780
Burwash Landing,Destruction Bay,17
Burwash Landing,Drury Creek,542
Burwash Landing,Elsa,699
Burwash Landing,Faro,607
Burwash Landing,Fraser,415
Burwash Landing,Haines Junction,122
Burwash Landing,Keno,711
Burwash Landing,Marsh Lake,329
Burwash Landing,Mayo,654
Burwash Landing,Mendenhall,210
Burwash Landing,Pelly Crossing,531
Burwash Landing,Rancheria,594
Burwash Landing,Ross River,657
Burwash Landing,Stewart Crossing,601
Burwash Landing,Swift River,566
Burwash Landing,Tagish,377
Burwash Landing,Teslin,452
Burwash Landing,Tuchitua,819
Burwash Landing,Upper Liard,701
Burwash Landing,Watson Lake,712
Burwash Landing,Whitehorse,276
Burwash Landing,Skagway,450
Burwash Landing,Haines,360
Carcross,Carmacks,248
Carcross,Champagne,161
Carcross,Dawson City,603
Carcross,Destruction Bay,331
Carcross,Drury Creek,364
Carcross,Elsa,522
Carcross,Faro,429
Carcross,Fraser,69
Carcross,Haines Junction,225
Carcross,Keno,534
Carcross,Marsh Lake,87
Carcross,Mayo,477
Carcross,Mendenhall,137
Carcross,Pelly Crossing,354
Carcross,Rancheria,293
Carcross,Ross River,480
Carcross,Stewart Crossing,424
Carcross,Swift River,265
Carcross,Tagish,34
